시가,고가,저가,종가,거래량,거래대금,등락률
2250,2265,2230,2250,105930,237567620,0.0
13650,13650,13100,13150,54520,724903650,-2.23
19250,19250,18800,19000,31387,595568150,-0.78
10250,10250,9930,9980,84831,850107040,-1.67
5310,5420,5310,5310,49617,265500450,0.19
401,411,395,399,9522272,3810939077,-1.48
100000,100300,97000,98900,156781,15421231100,-1.1
30900,32450,30600,32050,13097,414784700,3.72
31300,32600,31000,32350,125465,4027194000,3.69
2250,2295,2215,2245,1090060,2456437915,0.9
2680,2705,2635,2690,14328,38242375,0.56
0,0,0,3100,0,0,0.0
1605,1610,1585,1610,20362,32489920,0.31
1020,1045,1005,1030,30173,30674885,1.98
2005,2005,2000,2005,3145,6301180,0.0
2015,2015,2010,2015,5294,10641550,0.0
2015,2020,2015,2015,2666,5374730,0.0
6970,7100,6860,6910,551218,3847052360,0.29
3750,3795,3740,3780,75406,284218645,0.93
1890,1890,1825,1830,241234,444701760,-0.81
9170,9190,8900,8910,394064,3562056880,-3.68
4350,4425,4330,4350,6237,27276320,0.0
1550,1580,1530,1540,1973286,3049794310,0.0
3490,3530,3440,3510,149002,520149340,0.72
4360,4360,4215,4250,93761,399637545,-1.05
2460,2465,2400,2415,22632,54852115,-1.83
21850,21850,21500,21600,18902,408880900,-0.69
13050,13150,12700,13100,59515,770092350,1.55
1945,1960,1930,1940,116582,225691920,-0.26
39050,39250,38700,38900,99408,3870025350,1.3
31600,32000,31000,31700,418379,13187662100,0.96
11400,11450,11050,11400,530205,5993322400,1.79
13100,13400,12700,13150,345334,4517248600,-0.38
13250,14050,13200,13700,958924,13139020050,4.18
53700,55600,53300,54900,149346,8129316600,2.81
5520,5560,5470,5470,106325,586162500,-0.91
2005,2005,2000,2000,22779,45625780,-0.25
2320,2380,2290,2320,82974,192097310,0.0
0,0,0,2375,0,0,0.0
2735,2780,2650,2680,322571,873422455,-2.01
2100,2120,2100,2100,24130,50683985,0.0
2080,2095,2080,2095,4522,9448535,0.0
2085,2100,2085,2100,9250,19383010,0.24
35850,35900,34550,34950,214770,7510174850,-1.27
0,0,0,2570,0,0,0.0
3730,3730,3600,3635,40012,144957690,0.41
3495,3560,3445,3490,159279,555170170,0.58
65900,66700,64700,66000,436065,28576498600,0.92
6910,6980,6780,6780,301990,2075989740,-2.87
1370,1415,1370,1380,178727,248755420,1.1
4125,4210,4040,4060,207302,855967595,-1.46
7070,7070,6870,6910,39867,277106710,-1.29
8760,8790,8670,8720,9586,83435460,0.11
767,779,755,776,43334,33255538,1.44
11700,11750,11150,11150,682390,7739576950,-4.29
5740,5760,5650,5690,76701,436187310,-0.52
12700,12700,12350,12450,71453,892226650,-0.8
446,455,440,451,3436758,1539614542,1.12
258,267,253,261,1003560,260873647,1.56
14850,15000,14550,15000,126461,1878580850,1.69
913,939,911,919,482407,444755322,0.88
5870,5880,5500,5500,1079989,6080724330,-6.78
5320,5850,5310,5310,715186,3964229020,0.38
6180,6180,5970,5980,69010,418445040,-2.29
1310,1315,1295,1300,86241,112367415,-0.38
3010,3115,2655,2670,8827619,25145013230,-10.1
8110,8220,7950,8120,291163,2359148420,0.74
5450,5950,5400,5480,4404750,24695654380,0.37
6400,6400,6230,6240,69450,435249800,-1.58
13700,13850,13500,13600,274554,3751995450,0.37
12250,12300,11950,12050,169968,2050631100,-1.23
7880,7880,7560,7570,140384,1074669740,-2.95
23050,23200,22550,22750,158750,3632749500,0.22
13150,13250,12800,12800,134245,1742865200,-3.4
3785,3850,3785,3800,5613,21337795,0.66
39200,42200,37550,39800,2260747,89932539700,0.13
1170,1195,1150,1165,1761349,2061519490,0.87
