시가,고가,저가,종가,거래량,거래대금,등락률
5990,6080,5940,6020,77229,463274940,0.5
16550,16550,16100,16200,4114,66761400,-2.11
4335,4390,4320,4365,274428,1195114735,1.63
190000,194500,186500,191000,52676,10060359500,0.79
6820,6900,6810,6850,1854886,12716351440,0.0
377000,377000,374000,375500,24,9007500,0.0
141000,141500,141000,141500,32,4513000,0.0
82600,83500,82600,82700,52842,4385697300,0.24
18450,18450,17850,17950,222609,4027370100,-2.97
73800,74500,73200,73600,2100,154615100,-0.27
89600,90300,88800,88800,57967,5163495600,-1.0
3330,3600,3245,3390,6708307,23197967440,2.57
27650,29100,27650,27650,5189,146269850,-0.9
49200,49250,49050,49250,518,25445950,0.72
344000,345000,341500,342500,48454,16625200500,0.0
167000,168000,167000,167500,664,111179000,0.3
61400,62000,61000,61400,1426,87484900,-0.81
861,903,860,888,844984,750724816,2.9
4230,4265,4205,4235,34854,147328325,0.12
64400,66300,64300,65900,114431,7536048600,1.7
44600,44650,43400,43550,298710,13064917450,-1.25
78500,78500,77000,77500,984,76010900,-3.0
7350,7440,7340,7390,697712,5159627700,0.41
15650,15850,15450,15700,46028,720515150,1.62
61000,61500,60600,60600,37935,2314852200,-0.33
14200,14300,14050,14300,19640,278274150,0.7
34000,34500,33800,34400,170,5838650,0.0
35750,36250,35300,35400,159273,5665147900,-0.28
26000,26000,25500,25850,513,13196500,0.0
23000,23000,22600,22900,967,22068400,0.22
63100,64200,62900,63000,9731,617167700,0.16
3935,3945,3905,3940,10236,40100520,1.03
5920,6240,5920,6080,105177,639894400,2.7
5210,5990,5210,5400,1251867,7126790400,3.85
45450,45500,45000,45300,6360,287374850,0.11
4070,4140,4020,4135,277901,1141824105,2.48
132500,135500,130000,134500,280155,37284495500,2.28
31400,32500,30650,30700,363851,11433206550,-0.97
19300,19400,17750,17850,1465833,26763480100,-7.51
43100,44000,43050,43750,151784,6630170000,1.39
23400,23600,22850,22900,1185382,27314066550,-1.29
2455,2490,2385,2395,1510159,3662656770,-2.24
28200,28200,27450,27450,240375,6642402950,-2.49
34200,34400,34150,34350,1535,52645700,0.59
5780,5820,5770,5790,31951,185214150,0.52
7800,7840,7580,7620,23809,182057380,-2.81
4035,4035,3930,3975,38927,154037600,-0.87
10550,10650,10450,10650,169354,1794615250,1.43
56400,57800,56300,57300,168353,9634206100,1.42
4000,4070,3940,3940,40052,158711915,-1.87
2840,2880,2805,2870,23475,66853195,1.77
6100,6680,5970,6180,1162922,7362825770,4.04
43850,45000,43600,43850,249318,10998333950,0.92
30500,30600,30300,30450,8635,262408150,0.5
20450,20450,19950,19950,1188905,23898142300,-1.97
6930,7090,6930,6990,328813,2305342380,0.87
415,417,408,415,865220,357015644,0.0
8980,9310,8980,9220,1350825,12436555460,2.67
11850,11900,11750,11900,13312,157423400,0.42
19800,20550,19600,19800,140312,2800950950,0.25
62500,62500,61000,62100,117,7191700,0.65
32050,32500,31800,32500,476,15289650,-0.91
2970,3000,2940,2965,13158,38885945,0.51
56100,56900,56100,56500,1817963,102961632308,0.18
4530,4560,4525,4555,26990,122555255,0.55
221500,222500,219500,220000,24445,5392854000,-0.68
37800,37850,37400,37650,21756,817453450,-0.13
4685,4705,4645,4645,58120,271114345,-0.21
2930,2975,2895,2930,31755,93172015,0.0
1730,1850,1710,1840,1977508,3564870995,6.98
2130,2130,2080,2095,601568,1261994045,-0.71
7880,7990,7850,7920,301643,2393745390,1.15
22350,22700,22200,22450,39009,875500400,0.67
677,685,668,675,550558,371585212,0.15
16350,16750,16100,16350,9487,154128550,0.0
48550,48750,48400,48550,430,20875150,0.1
54700,54900,54000,54500,561,30591000,-0.18
559,560,548,548,271008,149586881,-0.54
9210,9210,9090,9150,11068,101251970,0.77
34300,34550,34000,34000,1039044,35541246950,-0.87
90200,91300,90200,90600,361989,32810368500,-0.44
2205,2215,2170,2195,22191,48437585,0.23
2445,2445,2420,2435,15566,37794870,-0.2
17250,17450,17000,17200,41594,714920200,-0.29
79300,80600,79300,79800,138479,11092208100,0.25
13050,13100,12650,12900,2732348,35165945250,-1.15
763000,767000,736000,736000,88724,65920215000,-4.17
308500,309000,303000,304500,15871,4846335000,-1.77
481000,482000,472000,478000,286755,136946701000,0.74
59900,60300,59800,60300,2308,138764100,0.33
10800,10800,10700,10700,1133853,12165194900,-0.47
279500,280000,276000,277500,187926,52097182500,-0.18
95000,95500,93100,93700,486036,45563296100,-1.16
44100,44250,43700,44100,9599,421756500,0.0
4670,4700,4600,4635,85092,393212045,-0.32
643000,644000,629000,637000,151885,96661184000,0.47
297500,297500,291500,294500,4451,1309135000,-0.51
82400,83200,80800,81100,288481,23573520400,-0.25
68800,71900,68700,70700,153113,10849287500,2.91
51800,54000,51800,53400,126058,6725313100,3.69
2435,2450,2400,2450,37754,91694480,1.66
7230,7340,7230,7290,86910,634755100,0.97
78800,78900,76900,77100,92664,7155639300,-1.66
33900,34350,33300,33300,232787,7812537100,-0.75
33100,33500,32850,33500,16799,558902350,1.21
17350,17450,17050,17100,363,6252600,-1.16
8590,8630,8480,8550,85365,727640700,-0.58
11450,11500,11250,11300,904,10240250,-1.31
7780,7780,7630,7710,6677,51254150,0.0
198000,199000,194000,194000,794828,155110776000,-0.51
25550,25700,25150,25400,34549,877552350,-0.39
3650,3670,3590,3650,96044,349466755,0.97
9200,9240,9130,9130,474897,4355392990,-0.54
8910,8970,8890,8890,8362,74503510,-0.22
4380,4445,4325,4415,31279,137883375,0.8
13000,13150,12850,13150,16228,210833900,1.54
4735,4745,4680,4725,100675,473616355,0.53
6140,7070,6110,6280,2673876,17770867140,2.95
3310,4070,3270,3370,597550,2237353190,2.12
85100,87500,84800,86800,580220,50167148200,3.46
31650,31850,30950,30950,81214,2545853750,-1.75
293500,295000,291000,291000,322914,94475889500,-0.34
82600,82700,81400,81800,235926,19323364700,-0.37
51900,52500,51600,52200,6025,313647100,0.97
32100,32650,31800,32550,34580,1117866600,1.88
31250,31250,30800,31200,21595,670360250,0.81
1750,1770,1700,1715,131840,226091365,-1.44
582,589,576,582,2242839,1307229593,0.17
36500,37100,36000,36950,8613,315369300,1.23
857,866,847,855,799301,683646704,0.23
5360,5360,5220,5260,186195,983131240,-2.23
4580,4600,4455,4475,12971,58664985,-2.29
3620,3640,3600,3610,21453,77561175,-0.28
190000,192500,189500,190500,121850,23247073099,0.53
94300,94300,91800,93000,245829,22838848900,-0.53
114500,116500,114500,116500,3923,454011500,1.75
3900,3950,3900,3900,543628,2131204015,0.26
49250,49300,45750,45800,9693,459840400,-10.2
30200,30600,30200,30500,16447,500466850,0.99
28100,28100,27550,28100,2943,81795050,0.0
20750,21000,20500,20800,22712,470711800,0.24
6880,6940,6700,6760,64763,437506230,-1.74
5430,5450,5300,5450,66500,360346650,0.37
78900,79300,77400,79300,229533,18057076300,1.8
74500,74800,73700,74100,63774,4738396400,-0.4
35700,36200,35350,35950,316346,11358852650,0.98
62600,65900,62400,64700,802564,51805917600,4.86
169000,170500,168500,170000,211,35743000,1.8
155500,158000,154000,157000,364469,56917144500,2.28
95900,97100,95400,96900,3703,355856200,1.04
644,647,641,643,406125,261392485,0.31
2640,2660,2620,2660,4515,11911530,2.31
80000,81400,79400,80900,92254,7443131700,1.89
39050,39650,39050,39450,3531,139008100,1.02
46400,46450,45900,45900,1333055,61485234652,-1.29
88100,88100,85800,86800,3057664,264827899600,-0.57
42700,43600,42700,43000,18960,818189500,0.7
19400,19550,19200,19250,22610,438202200,-0.26
9550,9690,9500,9660,136739,1317454170,2.22
16100,16400,15900,16050,2609,42034300,-0.31
71400,71500,70500,70600,6528,461701600,-0.28
5770,5990,5700,5800,741315,4318281630,1.75
13800,13900,13650,13900,47358,652642750,1.09
7110,7200,6950,7080,311583,2202303900,-0.28
3380,3420,3350,3410,10382,35300050,0.29
1745,1815,1745,1785,151849,271494885,2.29
10000,10100,9910,10100,134877,1349865240,1.41
20200,20200,19900,20050,67648,1356435050,0.25
2630,2635,2555,2580,3986269,10302006540,-1.71
2695,2750,2680,2700,5563,14994215,0.19
4965,4975,4865,4930,550864,2711966315,-0.2
18950,19350,18900,18900,41008,783265850,0.27
20600,20700,20550,20600,2775,57103150,0.24
23450,23500,23000,23050,635777,14694195837,-1.07
1765,1800,1740,1785,85989,153019125,2.59
10450,10600,10350,10550,22458,235548700,1.44
33350,34300,33250,33700,37502,1266092600,1.05
24400,24650,24200,24500,26205,638171550,0.82
97500,103500,96700,101000,151368,15143324000,5.21
10900,10950,10500,10650,19535,207480450,-0.93
8430,8540,8240,8320,262141,2191376510,-1.65
4285,4300,4245,4285,51251,219010880,0.23
24450,24600,23850,24350,1231,29831750,-0.41
18800,18900,18700,18850,6256,117477600,0.53
3285,3285,3225,3270,38136,123898750,0.0
5700,5700,5500,5620,2215,12472210,1.08
3700,3775,3640,3730,287195,1064323035,1.08
550000,561000,549000,550000,53712,29766872000,0.55
22500,22650,21850,21850,59432,1317039400,-2.89
6000,6010,5970,6010,26609,159478020,0.33
2370,2380,2320,2355,2268740,5333679005,-4.85
2235,2240,2195,2220,66422,147389575,0.23
33400,33400,33100,33350,2128,70789550,-0.15
5510,5510,5450,5450,18403,100979660,-0.91
9370,9410,9290,9370,16517,154508440,0.21
43750,44050,43400,43550,7988,347881350,-0.34
1190,1255,1185,1245,395426,483637140,4.62
823,830,803,810,521704,423781564,-2.41
5120,5390,5110,5320,1329621,7020620430,3.91
10350,10400,10100,10250,187678,1921694650,0.0
3660,3680,3645,3650,47209,172827175,-0.27
6300,6360,6250,6300,59997,377825190,0.8
12050,12100,11800,12100,1814,21638100,1.26
129500,131000,117000,118000,36312,4468054500,-7.45
25700,26200,25250,25350,2139307,54859640250,0.0
8180,8250,7920,7940,694832,5599619580,-1.85
26350,27050,25500,25600,6787,177559000,0.2
143000,145000,142000,144000,63575,9112739000,0.0
83200,83200,82000,82400,3096,254989500,-0.12
920,920,903,908,289394,263419974,-0.55
927,944,927,935,25692,24059316,0.0
3025,3030,2975,2975,195021,583763190,-0.83
3540,3585,3525,3585,18987,67306690,1.41
64600,64700,63900,63900,1364703,87640329700,-0.47
10100,10200,10100,10150,1037282,10529645600,0.5
1840,1850,1800,1820,400070,727829425,-1.09
2940,2955,2870,2920,24726,71684370,0.34
18300,18500,18300,18450,38,698450,0.82
9740,11700,9610,10150,2007899,21914551410,5.4
2210,2225,2175,2210,1181166,2604728325,0.45
26850,26850,26350,26500,1487,39584750,-1.3
2145,2200,2125,2125,406242,876418755,-1.39
447000,498500,446000,494500,8893,4269296500,10.87
230000,249500,230000,247000,913,219456000,7.39
8820,8880,8790,8830,142916,1262035880,1.03
4020,4035,3970,3995,3717,14873350,0.0
3200,3415,3170,3250,482,1629295,3.17
6290,6380,6260,6320,249733,1578529540,1.28
2735,2850,2670,2730,8183,22175205,0.0
55100,57300,54600,57200,608152,34297137200,4.76
7950,8020,7890,7940,52883,418773110,-0.13
15100,15100,15000,15000,1575,23695300,-0.33
10200,10300,10100,10150,13377,135713000,-0.98
22900,22900,22400,22400,3570,80585650,-1.1
132000,132000,129500,129500,18069,2353931000,-1.15
17100,17150,16900,16950,38208,650407600,-0.59
33400,33400,33200,33350,929,30942600,0.15
344500,350500,342000,347000,17884,6215850500,0.58
67300,67600,66800,67300,511,34312300,0.0
4930,5050,4885,4990,493743,2465551635,1.84
3035,3100,3030,3050,411164,1257199085,0.83
22350,22850,22250,22700,241323,5449478050,2.48
3400,3900,3345,3700,4888761,18245354120,9.79
2675,2710,2635,2705,35626,95520570,1.5
1775,1790,1745,1755,1759,3085955,0.86
9590,9600,9560,9560,106,1014800,-0.31
6350,6350,6290,6330,34553,218055580,0.32
9600,9600,9470,9590,987,9456110,-0.1
21850,21900,21450,21700,206813,4475428400,0.23
10550,10550,10300,10450,4181,43254550,0.0
12250,12400,12150,12400,279210,3442250750,2.06
9800,10150,9780,10000,118090,1175570170,4.06
3940,3985,3920,3950,13496,53118130,0.38
3790,3880,3785,3835,3735,14220800,1.19
21450,21600,21200,21200,79220,1687903550,-0.93
16000,16200,15900,15950,602,9629100,-0.31
7750,7770,7660,7730,19485,150180570,-0.26
9130,9180,9060,9170,1635,14917730,0.11
4250,4250,4135,4180,102575,429251885,0.0
9170,9170,9000,9050,89342,808783130,0.22
118000,119500,116500,117000,49745,5859020500,-0.85
13050,13050,12800,13000,34367,444550200,0.0
11750,11750,11500,11600,16687,193432900,-1.28
12050,12050,11850,11950,27484,328299100,-0.42
3175,3220,3170,3175,171590,547778410,0.16
1585,1600,1575,1595,203051,323156900,0.31
4625,4710,4575,4590,1446974,6678730735,-0.54
1495,1545,1480,1525,171040,260057105,2.69
19400,19700,19300,19450,284049,5549291150,1.04
19750,19950,19650,19700,32486,642144650,-0.76
147000,147500,145500,146500,27127,3976302000,0.0
3220,3270,3195,3260,100571,326694310,2.03
1165,1165,1140,1155,187021,215910035,0.0
2410,2475,2405,2415,1430,3450870,0.21
17250,17250,16650,16650,382111,6426940600,-3.2
2395,2465,2365,2440,321467,782203930,2.09
723,740,717,722,516026,377165441,-0.14
777,784,769,776,227055,176316430,0.39
1270,1285,1250,1260,428740,544335905,1.2
7640,7710,7490,7560,240598,1825322400,0.67
51500,52100,51500,51800,4028,207661900,-0.19
181000,181000,173500,176000,86039,15126889500,-2.22
1570,1610,1565,1585,7629053,12138135780,1.28
11550,11550,11250,11400,32084,363716000,-0.44
2685,2730,2680,2725,106979,290207300,1.68
2470,2475,2435,2465,20131,49541275,0.0
143500,146500,142000,144500,3704,536199000,0.7
23950,23950,23600,23600,964437,22842818300,-0.42
31100,31400,30700,30750,3351,103464500,-1.13
2100,2130,2080,2085,494600,1037356355,-0.24
113500,115500,113000,115500,191,21815000,2.21
2275,2295,2265,2285,119138,271632685,0.66
1360,1385,1355,1365,193334,264846095,0.37
47700,49950,47550,49250,107766,5300118300,3.79
36050,36100,35600,35850,51626,1848014750,0.14
5450,5450,5080,5250,134323,710281100,-2.23
5980,6100,5860,5990,12404,73783320,1.01
2585,2690,2585,2645,33270,87970935,1.93
94500,97900,94000,96100,154325,14787583800,3.78
8910,8980,8800,8830,400144,3554241060,1.03
12950,13200,12900,13050,394051,5148922850,0.77
51900,52100,51800,51800,589,30566500,-0.19
2655,2670,2615,2615,287279,754665390,-1.32
6410,6450,6370,6450,3269,21008040,0.78
7420,7510,7340,7450,178645,1325840730,1.78
32750,36500,32300,32800,37452,1276114550,5.13
19750,20000,19750,19800,36686,728227500,-0.5
6530,6560,6500,6500,50271,328043360,-0.46
4525,4525,4480,4505,37631,169197695,0.11
98300,98400,97500,98300,2072,203138200,0.82
61300,61900,60700,61800,4964,304921000,0.98
12600,13000,12600,12850,22379,286943900,1.98
11400,11450,11350,11400,5453,62079450,0.0
1045,1050,1035,1045,241081,251032055,0.97
13000,13050,13000,13050,653,8489150,1.16
14050,14300,13650,13650,659,9103650,0.37
4685,4715,4600,4600,179796,832258805,-1.81
6500,6500,6480,6480,634,4115160,0.47
1075,1080,1050,1060,2902667,3082755720,-1.85
5050,5270,5040,5150,175281,904569470,2.59
156500,157000,154000,155500,1920,297940000,-0.32
1015,1020,998,1010,281188,282326188,-0.49
48350,49150,48100,48300,43423,2100388800,0.0
9140,9790,8990,9140,170934,1597787670,0.0
40350,40600,40100,40300,12877,519449000,0.12
29250,29400,29250,29400,13,381300,1.03
6350,6460,6200,6200,26663,166935940,-1.12
195000,195000,193500,195000,5546,1075683000,0.26
2195,2260,2195,2225,25585,56884045,0.23
9480,9510,9340,9400,97518,916137020,-0.74
89200,90600,88000,89400,91295,8179316800,0.9
82500,83700,82500,83400,181,15073400,0.36
35100,35550,35100,35150,203453,7169704950,0.0
16600,17050,16450,16900,7533269,126676392750,3.05
49900,50500,49850,50200,1076,53829450,0.6
32550,34000,32350,33700,699864,23411621800,5.64
9950,10450,9850,10300,87566,892579090,4.04
12500,13150,12450,12650,26767,343979800,2.43
